,Food,Calories,Carbohydrate,Fiber,Protein,Sugar,Salt,Polyunsaturated (good) Fat,Saturated (bad) Fat,Monounsaturated (bad) Fat,Calcium,Iron,Magnesium,Phosphorus,Potassium,Zinc,Copper,Vitamin A,Vitamin B6,Vitamin B12,Vitamin C,Vitamin D,Vitamin K,Selenium,Thiamin,Niacin,Food Folate,Choline
747,"Cherries, sweet, raw (Queen Anne, Bing), cup, cooked",63.0,16.01,2.1,1.06,12.82,0.0,0.052,0.038,0.047,13.0,0.36,11.0,21.0,222.0,0.07,0.06,3.0,0.049,0.0,7.0,0.0,2.1,0.0,0.027,0.154,4.0,6.0998
748,"Cherries, dried, cup, cooked",333.0,80.45,2.5,1.25,67.15,13.0,0.194,0.146,0.177,38.0,0.68,22.0,36.0,376.0,0.25,0.229,141.0,0.101,0.0,19.3,0.0,5.0998,0.4,0.058,0.867,11.0,14.6999
749,"Grape, cooked or canned, unsweetened, cup, cooked",40.0,10.3,0.6,0.5,9.6998,6.0,0.031,0.035,0.004,10.0,0.98,6.0,18.0,107.0,0.05,0.056,2.0,0.065,0.0,1.0,0.0,9.8,0.1,0.031,0.13,3.0,3.7999
750,"Lychee, cooked or canned, in sugar or syrup, cup",95.0,24.07,0.9,0.56,23.18,1.0,0.088,0.066,0.08,4.0,0.21,7.0,21.0,104.0,0.05,0.092,0.0,0.06,0.0,33.5,0.0,0.3,0.5,0.006,0.364,5.0,4.7999
751,"Honeydew, frozen (balls), cup",36.0,9.0899,0.8,0.54,8.1198,18.0,0.059,0.038,0.003,6.0,0.17,10.0,11.0,228.0,0.09,0.024,3.0,0.088,0.0,18.0,0.0,2.8999,0.7,0.038,0.418,19.0,7.5998
752,"Papaya, green, cooked, cup",30.0,7.57,1.2,0.33,5.4699,6.0,0.041,0.057,0.05,14.0,0.18,15.0,7.0,115.0,0.06,0.031,25.0,0.024,0.0,29.8,0.0,1.8,0.4,0.013,0.225,13.0,4.2999
753,"Peach, raw, cup",39.0,9.5398,1.5,0.91,8.39,0.0,0.086,0.019,0.067,6.0,0.25,9.0,20.0,190.0,0.17,0.068,16.0,0.025,0.0,6.5998,0.0,2.6,0.1,0.024,0.806,4.0,6.0998
754,"Peach, cooked or canned, unsweetened, cup",24.0,6.11,1.3,0.44,4.8098,3.0,0.028,0.006,0.021,2.0,0.32,5.0,10.0,99.0,0.09,0.054,27.0,0.019,0.0,2.8999,0.0,1.7,0.3,0.009,0.521,3.0,4.0998
755,"Peach, cooked or canned, in heavy syrup, cup",74.0,19.94,1.3,0.45,18.64,6.0,0.047,0.01,0.035,3.0,0.27,5.0,11.0,92.0,0.09,0.051,17.0,0.019,0.0,2.7999,0.0,1.7,0.3,0.011,0.614,3.0,4.0998
756,"Peach, cooked or canned, in light or medium syrup, cup",54.0,14.55,1.3,0.45,13.25,5.0,0.015,0.003,0.012,3.0,0.36,5.0,11.0,97.0,0.09,0.052,18.0,0.019,0.0,2.3999,0.0,1.7,0.3,0.009,0.593,3.0,4.0998
757,"Peach, cooked or canned, drained solids, cup",72.0,18.43,1.2,0.52,14.66,6.0,0.066,0.013,0.047,3.0,0.27,5.0,12.0,94.0,0.09,0.063,31.0,0.013,0.0,0.7,0.0,2.3999,0.0,0.02,0.625,9.0,3.7999
758,"Peach, cooked or canned, juice pack, cup",44.0,11.57,1.3,0.63,10.27,4.0,0.016,0.004,0.012,6.0,0.27,7.0,17.0,128.0,0.11,0.05,19.0,0.019,0.0,3.6,0.0,1.7,0.3,0.008,0.582,3.0,4.0998
759,"Peach, frozen, unsweetened, cup",39.0,9.5398,1.5,0.91,8.39,0.0,0.086,0.019,0.067,6.0,0.25,9.0,20.0,171.0,0.17,0.061,15.0,0.025,0.0,4.5998,0.0,2.6,0.1,0.023,0.806,4.0,6.0998
760,"Peach, pickled, cup",118.0,29.1999,1.0,0.62,28.28,1.0,0.059,0.013,0.046,6.0,0.22,7.0,15.0,143.0,0.12,0.049,10.0,0.017,0.0,4.2999,0.0,1.8,0.2,0.016,0.549,3.0,4.2
761,"Peach, spiced, cup",75.0,20.0798,1.3,0.41,18.78,4.0,0.048,0.011,0.036,6.0,0.28,7.0,9.0,85.0,0.08,0.098,16.0,0.019,0.0,5.2999,0.0,1.7,0.3,0.011,0.537,3.0,4.0998
762,"Pear, raw, cup",57.0,15.23,3.1,0.36,9.75,1.0,0.094,0.022,0.084,9.0,0.18,7.0,12.0,116.0,0.1,0.082,1.0,0.029,0.0,4.2999,0.0,4.4,0.1,0.012,0.161,7.0,5.0998
763,"Pear, cooked or canned, drained solids, cup",74.0,19.0798,2.7,0.24,16.42,5.0,0.041,0.01,0.037,6.0,0.22,4.0,8.0,66.0,0.08,0.061,0.0,0.014,0.0,1.1,0.0,0.3,0.1,0.011,0.242,1.0,1.3
764,"Persimmon, raw, cup",70.0,18.59,3.6,0.58,12.5299,1.0,0.043,0.02,0.037,8.0,0.15,9.0,17.0,161.0,0.11,0.113,81.0,0.1,0.0,7.5,0.0,2.6,0.6,0.03,0.1,8.0,7.5998
765,"Pineapple, raw, cup",50.0,13.1198,1.3998,0.54,9.8498,1.0,0.04,0.009,0.013,13.0,0.29,12.0,8.0,109.0,0.12,0.11,3.0,0.112,0.0,47.7999,0.0,0.7,0.1,0.079,0.5,18.0,5.5
766,"Pineapple, cooked or canned, unsweetened, cup",32.0,8.3,0.8,0.43,7.5,1.0,0.031,0.006,0.011,15.0,0.4,18.0,4.0,127.0,0.12,0.105,2.0,0.074,0.0,7.7,0.0,0.3,0.4,0.093,0.298,5.0,3.7999
767,"Pineapple, cooked or canned, in heavy syrup, cup",78.0,20.1999,0.8,0.35,16.8998,1.0,0.04,0.009,0.013,14.0,0.38,16.0,7.0,104.0,0.12,0.101,1.0,0.074,0.0,7.4,0.0,0.3,0.4,0.09,0.287,5.0,3.7999
768,"Pineapple, cooked or canned, drained solids, cup",60.0,15.56,1.3,0.51,14.26,1.0,0.04,0.008,0.014,16.0,0.28,15.0,7.0,124.0,0.1,0.107,3.0,0.075,0.0,9.4,0.0,0.7,0.4,0.102,0.284,5.0,5.5
769,"Pineapple, cooked or canned, juice pack, cup",60.0,15.6999,0.8,0.42,14.4499,1.0,0.029,0.006,0.01,14.0,0.28,14.0,6.0,122.0,0.1,0.086,2.0,0.074,0.0,9.5,0.0,0.3,0.4,0.095,0.284,5.0,4.7999
770,"Plum, raw, cup",46.0,11.42,1.3998,0.7,9.9199,0.0,0.044,0.017,0.134,6.0,0.17,7.0,16.0,157.0,0.1,0.057,17.0,0.029,0.0,9.5,0.0,6.4,0.0,0.028,0.417,5.0,1.8998
771,"Plum, cooked or canned, unsweetened, cup",41.0,11.0299,0.9,0.39,10.1,1.0,0.002,0.001,0.005,7.0,0.16,5.0,13.0,126.0,0.08,0.039,46.0,0.027,0.0,2.7,0.0,4.2999,0.0,0.021,0.37,3.0,1.3
772,"Plum, cooked or canned, drained solids, cup",89.0,23.12,1.5,0.44,21.5798,19.0,0.03,0.011,0.09,10.0,0.84,5.0,15.0,93.0,0.07,0.046,20.0,0.028,0.0,0.4,0.0,6.4,0.0,0.017,0.291,3.0,0.8
773,"Plum, pickled, cup",123.0,30.8,1.0,0.48,29.64,1.0,0.03,0.012,0.092,6.0,0.16,6.0,12.0,121.0,0.08,0.042,12.0,0.02,0.0,6.5,0.0,4.4,0.2,0.019,0.286,3.0,1.3
774,"Pomegranate, raw, cup",83.0,18.6999,4.0,1.6698,13.67,3.0,0.079,0.12,0.093,10.0,0.3,12.0,36.0,236.0,0.35,0.158,0.0,0.075,0.0,10.1999,0.0,16.3998,0.5,0.067,0.293,38.0,7.5998
775,"Rhubarb, raw, cup",21.0,4.54,1.8,0.9,1.1,4.0,0.099,0.053,0.039,86.0,0.22,12.0,14.0,288.0,0.1,0.021,5.0,0.024,0.0,8.0,0.0,29.3,1.1,0.02,0.3,7.0,6.0998
776,"Rhubarb, cooked or canned, in light syrup, cup",92.0,23.46,1.5,0.44,20.1999,2.0,0.044,0.023,0.017,157.0,0.24,15.0,10.0,87.0,0.08,0.02,4.0,0.02,0.0,3.7,0.0,23.6,1.0,0.024,0.164,6.0,4.9
777,"Tamarind, raw, cup",239.0,62.5,5.0998,2.7999,57.3999,28.0,0.059,0.272,0.181,74.0,2.7999,92.0,113.0,628.0,0.1,0.086,2.0,0.066,0.0,3.5,0.0,2.7999,1.3,0.428,1.938,14.0,8.5998
778,"Blackberries, raw, cup",43.0,9.6098,5.2999,1.3898,4.8799,1.0,0.28,0.014,0.047,29.0,0.62,20.0,22.0,162.0,0.53,0.165,11.0,0.03,0.0,21.0,0.0,19.8,0.4,0.02,0.646,25.0,8.5
779,"Blackberries, cooked or canned, in heavy syrup, cup",92.0,23.1,3.3999,1.31,19.6999,3.0,0.08,0.005,0.014,21.0,0.65,17.0,14.0,99.0,0.18,0.133,11.0,0.036,0.0,2.7999,0.0,13.3,0.3,0.027,0.287,27.0,5.7
780,"Blueberries, raw, cup",57.0,14.49,2.3999,0.74,9.96,1.0,0.146,0.028,0.047,6.0,0.28,6.0,12.0,77.0,0.16,0.057,3.0,0.052,0.0,9.6998,0.0,19.3,0.1,0.037,0.418,6.0,6.0
781,"Blueberries, cooked or canned, unsweetened, cup",38.0,9.71,1.6,0.5,6.6699,2.0,0.098,0.019,0.031,5.0,0.19,4.0,8.0,47.0,0.11,0.037,2.0,0.031,0.0,3.2,0.0,12.9,0.1,0.02,0.252,2.0,4.0
782,"Blueberries, cooked or canned, in light syrup, cup",88.0,22.66,2.6,1.04,17.4499,3.0,0.19,0.028,0.062,6.0,0.43,4.0,12.0,54.0,0.09,0.053,2.0,0.049,0.0,0.5,0.0,19.8998,0.1,0.046,0.363,2.0,4.0
783,"Blueberries, cooked or canned, in heavy syrup, cup",88.0,22.0598,1.6,0.65,20.46,3.0,0.144,0.027,0.047,5.0,0.33,4.0,10.0,40.0,0.07,0.053,2.0,0.036,0.0,1.1,0.0,6.4,0.1,0.034,0.113,2.0,4.0
784,"Blueberries, frozen, unsweetened, cup",51.0,12.17,2.7,0.42,8.4498,1.0,0.279,0.053,0.091,8.0,0.18,5.0,11.0,54.0,0.07,0.033,2.0,0.059,0.0,2.5,0.0,16.3998,0.1,0.032,0.52,7.0,5.0998
785,"Blueberry pie filling, cup",181.0,44.38,2.6,0.41,37.75,12.0,0.0,0.0,0.0,27.0,0.8,10.0,12.0,115.0,0.1,0.112,1.0,0.029,0.0,0.7,0.0,3.8999,0.4,0.023,0.091,1.0,3.7999
786,"Boysenberries, raw, cup",43.0,9.6098,5.2999,1.3898,4.8799,1.0,0.28,0.014,0.047,29.0,0.62,20.0,22.0,162.0,0.53,0.165,11.0,0.03,0.0,21.0,0.0,19.8,0.4,0.02,0.646,25.0,8.5
787,"Cranberries, raw, cup",46.0,12.1999,4.5998,0.39,4.04,2.0,0.055,0.011,0.018,8.0,0.25,6.0,13.0,85.0,0.1,0.061,3.0,0.057,0.0,13.3,0.0,5.0998,0.1,0.012,0.101,1.0,5.5
788,"Dewberries, raw, cup",43.0,9.6098,5.2999,1.3898,4.8799,1.0,0.28,0.014,0.047,29.0,0.62,20.0,22.0,162.0,0.53,0.165,11.0,0.03,0.0,21.0,0.0,19.8,0.4,0.02,0.646,25.0,8.5
789,"Huckleberry, raw, cup",57.0,14.49,2.3999,0.74,9.96,1.0,0.146,0.028,0.047,6.0,0.28,6.0,12.0,77.0,0.16,0.057,3.0,0.052,0.0,9.6998,0.0,19.3,0.1,0.037,0.418,6.0,6.0
790,"Mulberries, raw, cup",43.0,9.8,1.7,1.4398,8.0998,10.0,0.207,0.027,0.041,39.0,1.85,18.0,38.0,194.0,0.12,0.06,1.0,0.05,0.0,36.3999,0.0,7.7999,0.6,0.029,0.62,6.0,12.3
791,"Raspberries, cooked or canned, unsweetened, cup",35.0,8.0,4.4,0.8,2.96,2.0,0.251,0.013,0.043,17.0,0.46,15.0,19.0,91.0,0.28,0.057,1.0,0.033,0.0,12.3,0.0,5.2,0.1,0.017,0.361,7.0,8.1998
792,"Raspberries, cooked or canned, in heavy syrup, cup",91.0,23.3599,3.2999,0.83,20.0598,3.0,0.068,0.005,0.011,11.0,0.42,12.0,9.0,94.0,0.16,0.057,2.0,0.042,0.0,8.6998,0.0,5.2,0.1,0.02,0.443,11.0,8.1998
793,"Raspberries, frozen, with sugar, cup",103.0,26.16,4.4,0.7,21.76,1.0,0.089,0.005,0.015,15.0,0.65,13.0,17.0,114.0,0.18,0.105,3.0,0.034,0.0,16.5,0.0,6.5,0.3,0.019,0.23,26.0,10.1999
794,"Strawberries, raw, cup",32.0,7.6799,2.0,0.67,4.8898,1.0,0.155,0.015,0.043,16.0,0.41,13.0,24.0,153.0,0.14,0.048,1.0,0.047,0.0,58.7999,0.0,2.2,0.4,0.024,0.386,24.0,5.7
795,"Cranberry-orange relish, uncooked, cup",171.0,44.42,2.7999,0.39,40.07,1.0,0.031,0.009,0.012,16.0,0.17,5.0,8.0,75.0,0.07,0.04,3.0,0.041,0.0,20.1,0.0,2.1,0.4,0.023,0.108,6.0,4.0998
796,"Cranberry-raspberry Sauce, cup",157.0,40.93,1.8998,0.36,38.75,18.0,0.115,0.012,0.025,7.0,0.28,6.0,9.0,43.0,0.12,0.034,2.0,0.018,0.0,4.9,0.0,2.3999,0.4,0.014,0.168,3.0,4.7
797,"Tropical fruit cocktail, cooked or canned, in light syrup, cup",50.0,12.69,1.1,0.37,11.15,4.0,0.046,0.04,0.038,16.0,0.33,16.0,7.0,121.0,0.11,0.069,20.0,0.052,0.0,25.5,0.0,1.2,0.5,0.054,0.293,16.0,4.2999
798,"Fruit cocktail, cooked or canned, drained solids, cup",70.0,18.8,1.7,0.47,17.14,6.0,0.042,0.014,0.018,7.0,0.29,5.0,12.0,90.0,0.08,0.086,14.0,0.051,0.0,1.8998,0.0,3.8999,0.5,0.019,0.374,3.0,2.3999
799,"Fruit cocktail, cooked or canned, juice pack, cup",46.0,11.8599,1.0,0.46,10.8599,4.0,0.004,0.001,0.002,8.0,0.21,7.0,14.0,95.0,0.09,0.062,15.0,0.051,0.0,2.7,0.0,2.6,0.5,0.012,0.403,3.0,4.0
800,"Apple and grape salad with yogurt and walnuts, cup",117.0,15.73,2.2,2.1499,12.43,33.0,3.242,0.665,0.88,43.0,0.33,17.0,60.0,162.0,0.37,0.132,4.0,0.124,0.1,4.7999,0.0,4.2999,1.0,0.045,0.17,7.0,5.7999
801,"Prune whip, cup",147.0,33.7599,2.1,4.66,31.35,176.0,0.019,0.009,0.055,15.0,0.32,17.0,27.0,264.0,0.15,0.086,10.0,0.146,0.03,3.7,0.0,17.8998,7.5,0.016,0.486,2.0,3.6
802,"Fruit salad, with sour cream, cup",76.418,15.0489,1.7609,0.793,10.1,6.766,0.112,1.4239,0.408,15.324,0.252,14.101,22.885,183.068,0.144,0.076,15.3729,0.155,0.02,17.6299,0.029,0.716,0.691,0.042,0.398,12.103,7.179
803,"Guacamole, cup",157.0,8.48,6.5998,1.96,0.71,148.0,1.772,2.075,9.561,12.0,0.54,28.0,51.0,476.0,0.63,0.186,7.0,0.252,0.0,10.3,0.0,20.5,0.4,0.066,1.698,79.0,14.0
804,"Fruit juice bar, frozen, orange flavor, cup",95.0,23.17,0.1,0.5,19.9898,8.0,0.0,0.0,0.0,9.0,0.47,8.0,13.0,100.0,0.02,0.022,1.0,0.018,0.0,25.6999,0.0,0.1,0.1,0.01,0.16,18.0,2.8999
805,"Fruit juice blend, 100% juice, cup",50.0,12.46,0.2,0.16,10.92,7.0,0.032,0.023,0.005,11.0,0.11,7.0,9.0,96.0,0.05,0.01,0.0,0.021,0.0,28.1999,0.0,0.2,0.1,0.006,0.087,0.0,2.3999
806,"Pomegranate juice, cup",54.0,13.13,0.1,0.15,12.65,9.0,0.05,0.077,0.059,11.0,0.1,7.0,11.0,214.0,0.09,0.021,0.0,0.04,0.0,0.1,0.0,10.4,0.3,0.015,0.233,24.0,4.7999
807,"Guava nectar, cup",62.0,15.56,0.8,0.37,14.75,3.0,0.058,0.039,0.013,5.0,0.04,4.0,6.0,55.0,0.04,0.037,3.0,0.014,0.0,23.1,0.0,0.4,0.2,0.008,0.141,4.0,1.1
808,"Peach nectar, cup",54.0,13.92,0.6,0.27,13.32,7.0,0.011,0.002,0.008,5.0,0.19,4.0,6.0,40.0,0.08,0.069,13.0,0.007,0.0,5.2999,0.0,1.0,0.2,0.003,0.288,1.0,2.3999
809,"Passion fruit nectar, cup",67.0,17.44,0.1,0.16,17.34,4.0,0.012,0.002,0.002,3.0,0.1,7.0,5.0,112.0,0.02,0.026,14.0,0.02,0.0,11.9,0.0,0.2,0.1,0.0,0.584,3.0,1.6
810,"Vinegar, balsamic, cup",88.0,17.03,0.0,0.49,14.9499,23.0,0.0,0.0,0.0,27.0,0.72,12.0,19.0,112.0,0.08,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
811,"Potato, raw, cup",77.0,17.4698,2.2,2.02,0.78,6.0,0.043,0.026,0.002,12.0,0.78,23.0,57.0,421.0,0.29,0.108,0.0,0.295,0.0,19.6999,0.0,1.8998,0.3,0.08,1.054,16.0,12.1
812,"Potato, red, raw, cup",70.0,15.9,1.7,1.8898,1.29,18.0,0.0589,0.035,0.003,10.0,0.73,22.0,61.0,455.0,0.33,0.134,0.0,0.17,0.0,8.5998,0.0,2.8999,0.5,0.081,1.149,18.0,16.3998
813,"Potato, baked, peel not eaten, cup",92.0,21.39,1.5,1.95,1.69,287.0,0.043,0.026,0.002,5.0,0.35,25.0,50.0,388.0,0.29,0.214,0.0,0.299,0.0,12.6999,0.0,0.3,0.3,0.104,1.385,9.0,14.4
814,"Potato, baked (with salt), peel eaten, fat added in cooking, cup",107.0,20.4898,2.1,2.43,1.1398,235.0,0.447,0.874,0.537,15.0,1.05,27.0,68.0,519.0,0.35,0.114,21.0,0.351,0.14,9.3,0.0,3.3999,0.4,0.062,1.366,27.0,14.6999
815,"Potato, boiled (with salt), peel not eaten, fat added in cooking, cup",102.0,19.43,1.7,1.82,0.84,253.0,0.473,0.953,0.592,6.0,0.3,21.0,43.0,367.0,0.29,0.182,22.0,0.343,0.16,12.5,0.0,3.6,0.3,0.102,1.389,10.0,13.4
816,"Potatoes, canned, low sodium, fat added in cooking, cup",76.0,13.26,2.2999,1.3798,0.58,21.0,0.461,0.862,0.522,5.0,1.23,14.0,28.0,224.0,0.27,0.056,19.0,0.233,0.14,4.7,0.0,2.7999,0.9,0.065,0.897,6.0,9.3
817,"Potatoes, canned, cup",60.0,13.6099,2.2999,1.4098,0.59,219.0,0.089,0.054,0.005,5.0,1.26,14.0,28.0,229.0,0.28,0.057,0.0,0.188,0.0,5.0998,0.0,1.5,0.9,0.068,0.915,6.0,9.1998
818,"Potato, roasted (no salt or fat added), cup",95.0,21.52,2.7,2.49,0.96,6.0,0.053,0.032,0.002,15.0,0.96,28.0,70.0,519.0,0.36,0.133,0.0,0.345,0.0,19.3998,0.0,2.2999,0.4,0.084,1.234,18.0,14.9
819,"Potato, roasted (with salt and vegetable oil) , cup",149.0,20.0,2.5,2.31,0.89,241.0,3.023,0.929,2.781,14.0,0.9,26.0,65.0,482.0,0.33,0.124,0.0,0.321,0.0,18.0,0.0,9.9,0.3,0.078,1.1458,16.0,13.9
820,"Potato, stewed Puerto Rican style, cup",114.0,18.77,1.8998,2.1,1.2,300.0,0.431,0.768,2.285,12.0,0.4,20.0,44.0,327.0,0.32,0.16,3.0,0.268,0.01,11.0,0.0,5.2999,0.8,0.099,1.2868,10.0,14.1999
821,"Potato chips, regular, cup",542.0,50.81,4.4,6.5598,0.37,450.0,15.9979,4.014,15.999,24.0,1.61,70.0,155.0,1642.0,2.39,0.398,0.0,0.723,0.0,18.6,0.0,22.1,8.0998,0.063,4.182,75.0,12.1
822,"Potato chips, reduced fat, cup",471.0,66.9,5.9,7.0998,0.22,492.0,10.94,4.16,4.7999,21.0,1.35,89.0,193.0,1744.0,0.07,0.6,0.0,0.671,0.0,25.6999,0.0,13.3,8.0998,0.208,7.0,27.0,45.1
823,"Potato chips, fat-free, cup",379.0,83.76,7.5,9.64,3.69,643.0,0.255,0.15,0.015,35.0,3.5699,70.0,167.0,1628.0,0.74,0.174,1.0,0.8,0.0,9.3,0.0,9.0998,8.0998,1.08,6.4458,45.0,54.1
824,"Potato chips, fat-free, made with Olean (Ruffle's Light), cup",274.0,65.0,6.7999,7.74,0.0,554.0,0.304,0.24,0.18,35.0,2.3999,69.0,174.0,1160.0,3.5,0.44,0.0,0.158,0.0,28.3,0.0,0.0,0.9,0.329,4.37,83.0,38.7999
825,"Potato chips, restructured (Pringles), cup",559.0,52.02,3.1,4.45,1.1398,529.0,13.5939,9.492,7.048,27.0,0.82,43.0,125.0,751.0,0.48,0.123,0.0,0.407,0.0,8.1998,0.0,7.2,2.2,0.115,3.24,7.0,32.7999
826,"Potato chips, restructured, reduced-fat and reduced-sodium (Pringles), cup",502.0,64.76,3.2,4.5598,0.63,450.0,12.201,6.759,4.5529,29.0,1.11,45.0,129.0,760.0,0.7,0.153,0.0,0.412,0.0,12.0,0.0,7.2,2.8999,0.212,3.595,27.0,0.0
827,"Potato chips, restructured, baked (Baked Lay's), cup",469.0,71.4,4.7999,5.0,5.0099,554.0,4.234,2.6309,9.91,125.0,0.8,43.0,274.0,721.0,0.45,0.104,0.0,0.51,0.0,0.0,0.0,7.2,8.0998,0.34,4.0899,0.0,31.6
828,"Potato chips, unsalted, reduced fat, cup",487.0,67.7998,6.0998,7.0998,0.22,8.0,10.94,4.16,4.7999,21.0,1.35,89.0,193.0,1744.0,1.01,0.348,0.0,0.67,0.0,25.6999,0.0,13.3,8.0998,0.21,7.0,10.0,53.0
829,"Potato skin chips, cup",559.0,52.02,3.1,4.45,1.1398,529.0,13.5939,9.492,7.048,27.0,0.82,43.0,125.0,751.0,0.48,0.123,0.0,0.407,0.0,8.1998,0.0,7.2,2.2,0.115,3.24,7.0,32.7999
830,"Potato, cooked, with cheese sauce (au gratin), cup",124.0,15.33,1.7,4.41,1.8898,322.0,0.566,2.874,1.4478,96.0,0.71,22.0,107.0,353.0,0.57,0.087,56.0,0.27,0.23,11.5,0.4,3.2,2.6,0.065,0.847,11.0,12.8
831,"Potato, cooked, with ham and cheese sauce (au gratin), cup",128.0,14.1099,1.5,6.28,1.74,414.0,0.577,2.8079,1.5569,89.0,0.73,22.0,118.0,353.0,0.76,0.088,52.0,0.288,0.27,10.6,0.4,3.0,4.7,0.117,1.224,11.0,20.8
832,"Potato, scalloped, no fat added, cup",81.0,15.92,1.7,2.8199,2.3599,288.0,0.072,0.427,0.181,51.0,0.67,21.0,76.0,361.0,0.38,0.087,19.0,0.214,0.05,11.6,0.4,1.5,1.8998,0.067,0.864,10.0,12.4
833,"Potato, scalloped, with ham, with margarine, cup",104.0,14.1,1.5,5.1699,2.0899,412.0,0.657,0.903,1.272,46.0,0.69,21.0,92.0,354.0,0.61,0.086,34.0,0.237,0.12,10.3,0.5,3.2999,4.4,0.128,1.3008,10.0,22.1
834,"Potato, scalloped, with ham, no fat added, cup",90.0,14.3599,1.5,5.2698,2.1299,404.0,0.134,0.586,0.439,47.0,0.7,21.0,93.0,360.0,0.62,0.088,17.0,0.242,0.12,10.5,0.5,1.3,4.5,0.131,1.326,10.0,22.3
835,"French fries, fresh, oven baked, cup",151.0,20.2198,2.5,2.3399,0.9,304.0,3.059,0.94,2.814,14.0,0.91,27.0,66.0,487.0,0.34,0.125,0.0,0.324,0.0,18.1999,0.0,10.0,0.3,0.079,1.159,17.0,14.0
836,"French fries, frozen, oven baked, cup",164.0,27.7398,2.7999,2.66,0.28,388.0,0.321,1.0288,3.237,12.0,0.74,26.0,97.0,451.0,0.38,0.135,0.0,0.184,0.0,13.3,0.0,2.5,0.2,0.128,2.218,28.0,23.6999
837,"French fries, frozen, deep fried (fast food fries), cup",312.0,41.4399,3.7999,3.43,0.3,210.0,5.3978,2.3359,5.969,18.0,0.81,35.0,125.0,579.0,0.5,0.124,0.0,0.372,0.0,4.7,0.0,11.1999,0.9,0.17,3.004,30.0,36.7999
838,"French fries, breaded or battered, cup",322.0,31.14,1.6,5.83,4.2599,409.0,7.219,3.573,7.796,99.0,1.24,23.0,115.0,321.0,0.6,0.121,0.0,0.174,0.29,4.2,0.0,5.9,9.8,0.257,2.055,15.0,21.3998
839,"Cheese fries, cup",311.0,23.3,1.7,11.56,3.7599,795.0,2.939,8.374,6.07,798.0,0.89,34.0,527.0,410.0,1.4298,0.077,141.0,0.235,0.84,2.1,3.8999,6.7,9.5998,0.098,1.4418,23.0,36.2
840,"Cheese fries, with bacon, cup",317.0,22.48,1.6,12.41,3.6099,829.0,3.059,8.5099,6.429,768.0,0.9,34.0,522.0,414.0,1.49,0.078,136.0,0.247,0.85,2.0,3.7,6.5,11.1,0.116,1.7828,22.0,38.2999
841,"Chili cheese fries, cup",228.0,20.1498,1.7,7.8898,1.79,491.0,2.467,4.2999,4.4889,281.0,1.36,28.0,237.0,353.0,1.08,0.136,53.0,0.222,0.72,2.6,1.3,5.7999,6.2,0.086,1.726,18.0,39.0
842,"French fries, with chili, cup",209.0,22.75,2.1,5.5998,0.72,316.0,2.8079,2.293,4.118,24.0,1.4398,27.0,100.0,371.0,0.83,0.158,7.0,0.243,0.54,3.2,0.1,6.4,3.8999,0.096,2.0739,18.0,39.7
843,"Home fries, with vegetable oil , cup, canned",185.0,23.28,2.2,2.2,1.54,310.0,4.1699,1.28,3.854,9.0,0.38,25.0,52.0,434.0,0.35,0.211,0.0,0.342,0.0,12.8,0.0,13.1,0.4,0.11,1.585,12.0,14.9
844,"Home fries, no fat added, cup, homemade",108.0,25.07,2.3999,2.37,1.6598,333.0,0.054,0.038,0.005,10.0,0.4,27.0,56.0,468.0,0.38,0.227,0.0,0.368,0.0,13.8,0.0,2.6,0.4,0.118,1.706,13.0,16.0
845,"Hash browns, frozen potatoes, cup",327.0,32.2,2.7,2.6099,0.24,518.0,3.7959,4.947,11.545,16.0,0.67,19.0,110.0,356.0,0.34,0.165,0.0,0.223,0.0,2.8999,0.0,9.9,0.5,0.14,1.6739,20.0,17.8
846,"Hash browns, refrigerated, unprepared, cup",84.0,19.16,1.8,1.75,0.91,42.0,0.269,0.163,0.014,6.0,0.48,19.0,70.0,425.0,0.36,0.062,0.0,0.257,0.0,4.9,0.0,0.4,2.8999,0.027,1.7768,4.0,14.5
847,"Hash browns, frozen, unprepared, cup",82.0,17.7198,1.3998,2.06,0.91,22.0,0.269,0.163,0.014,10.0,0.98,11.0,47.0,285.0,0.21,0.099,0.0,0.087,0.0,8.1998,0.0,0.4,0.3,0.097,1.6638,4.0,14.5
848,"Hash browns, dry mix, cooked, cup",218.0,28.34,3.2,2.6299,0.27,252.0,2.7679,0.928,7.25,17.0,0.54,28.0,79.0,493.0,0.38,0.114,0.0,0.235,0.0,6.7,0.0,18.0,0.5,0.133,2.2999,16.0,23.1
849,"Hash browns, with cheese, cup",278.0,31.37,2.7999,5.2999,1.3798,563.0,4.283,3.8999,5.7039,89.0,0.56,34.0,116.0,523.0,0.75,0.264,28.0,0.426,0.05,11.6,0.1,3.6,1.8998,0.155,2.056,16.0,21.8998
850,"Potato skins, fried, cup",418.0,71.89,10.4,6.66,3.0899,723.0,3.527,3.111,5.0468,44.0,8.4498,71.0,160.0,1001.0,0.82,1.131,1.0,0.922,0.0,21.3998,0.0,8.6998,1.1,0.188,4.5129,25.0,46.0
851,"Potato skins, fried, with cheese, cup",413.0,56.14,8.0998,10.63,2.52,698.0,2.962,7.0548,6.0019,192.0,6.71,62.0,237.0,799.0,1.32,0.885,59.0,0.729,0.1,16.6,0.1,7.4,3.8999,0.151,3.524,23.0,38.3999
